
> baseline-nextjs@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.4:3000
- Environments: .env.local, .env
✓ Ready in 2.8s
✓ Running next.config.mjs took 21ms
⚠ Turbopack's filesystem cache has been deleted because we previously detected an internal error in Turbopack. Builds or page loads may be slower as a result.
⚠ Slow filesystem detected. The benchmark took 227ms. If \\?\F:\Acentics\baseline-nextjs\.next\dev is a network drive, consider moving it to a local folder.
See more: https://nextjs.org/docs/app/guides/local-development

○ Compiling / ...
 GET / 200 in 7.9s (next.js: 7.6s, application-code: 332ms)
 GET / 200 in 1702ms (next.js: 1592ms, application-code: 110ms)
 GET / 200 in 53ms (next.js: 3ms, application-code: 50ms)
 GET / 200 in 72ms (next.js: 22ms, application-code: 50ms)
○ Compiling /press ...
 GET /press 200 in 29.5s (next.js: 29.3s, application-code: 119ms)
 GET /press 200 in 225ms (next.js: 25ms, application-code: 200ms)
 GET /press 200 in 185ms (next.js: 21ms, application-code: 165ms)
 GET /press 200 in 157ms (next.js: 11ms, application-code: 146ms)
 GET /press 200 in 148ms (next.js: 17ms, application-code: 132ms)
 GET /press 200 in 127ms (next.js: 14ms, application-code: 113ms)
 GET /press 200 in 131ms (next.js: 16ms, application-code: 115ms)
 GET /press 200 in 117ms (next.js: 9ms, application-code: 109ms)
 GET /press 200 in 116ms (next.js: 8ms, application-code: 108ms)
 GET /press 200 in 127ms (next.js: 7ms, application-code: 120ms)
 GET /press 200 in 115ms (next.js: 15ms, application-code: 100ms)
 GET /press 200 in 123ms (next.js: 14ms, application-code: 109ms)
 GET /press 200 in 149ms (next.js: 14ms, application-code: 136ms)
 GET /press 200 in 151ms (next.js: 16ms, application-code: 135ms)
 GET /press 200 in 152ms (next.js: 33ms, application-code: 119ms)
 GET /press 200 in 165ms (next.js: 9ms, application-code: 156ms)
 GET /press 200 in 110ms (next.js: 10ms, application-code: 100ms)
 GET /press 200 in 102ms (next.js: 5ms, application-code: 97ms)
 GET /press 200 in 109ms (next.js: 12ms, application-code: 97ms)
 GET /press 200 in 117ms (next.js: 9ms, application-code: 107ms)
 GET /press 200 in 126ms (next.js: 14ms, application-code: 112ms)
 GET /press 200 in 118ms (next.js: 8ms, application-code: 109ms)
 GET /press 200 in 116ms (next.js: 13ms, application-code: 103ms)
 GET /press 200 in 127ms (next.js: 11ms, application-code: 116ms)
 GET /press 200 in 149ms (next.js: 14ms, application-code: 135ms)
 GET /press 200 in 124ms (next.js: 5ms, application-code: 119ms)
 GET /press 200 in 104ms (next.js: 12ms, application-code: 92ms)
 GET /press 200 in 105ms (next.js: 9ms, application-code: 95ms)
 GET /press 200 in 109ms (next.js: 6ms, application-code: 103ms)
 GET /press 200 in 132ms (next.js: 6ms, application-code: 127ms)
 GET /press 200 in 126ms (next.js: 12ms, application-code: 114ms)
 GET /press 200 in 112ms (next.js: 13ms, application-code: 99ms)
 GET /press 200 in 117ms (next.js: 7ms, application-code: 109ms)
 GET /press 200 in 124ms (next.js: 16ms, application-code: 108ms)
 GET /press 200 in 111ms (next.js: 7ms, application-code: 104ms)
 GET /press 200 in 81ms (next.js: 11ms, application-code: 70ms)
 GET /press 200 in 68ms (next.js: 5ms, application-code: 63ms)
 GET /press 200 in 97ms (next.js: 5ms, application-code: 92ms)
 GET /press 200 in 113ms (next.js: 10ms, application-code: 103ms)
 GET /press 200 in 113ms (next.js: 14ms, application-code: 99ms)
 GET /press 200 in 113ms (next.js: 11ms, application-code: 102ms)
 GET /press 200 in 115ms (next.js: 13ms, application-code: 101ms)
 GET /press 200 in 107ms (next.js: 6ms, application-code: 101ms)
 GET /press 200 in 127ms (next.js: 13ms, application-code: 114ms)
 GET /press 200 in 115ms (next.js: 8ms, application-code: 107ms)
 GET /press 200 in 100ms (next.js: 11ms, application-code: 89ms)
 GET /press 200 in 122ms (next.js: 7ms, application-code: 115ms)
 GET /press 200 in 134ms (next.js: 17ms, application-code: 117ms)
 GET /press 200 in 118ms (next.js: 11ms, application-code: 107ms)
 GET /press 200 in 124ms (next.js: 8ms, application-code: 116ms)
 GET /press 200 in 128ms (next.js: 10ms, application-code: 118ms)
 GET /press 200 in 117ms (next.js: 8ms, application-code: 109ms)
 GET /press 200 in 143ms (next.js: 10ms, application-code: 133ms)
 GET /press 200 in 133ms (next.js: 7ms, application-code: 126ms)
 GET /press 200 in 109ms (next.js: 10ms, application-code: 98ms)
 GET /press 200 in 106ms (next.js: 6ms, application-code: 100ms)
 GET /press 200 in 101ms (next.js: 11ms, application-code: 91ms)
 GET /press 200 in 74ms (next.js: 8ms, application-code: 66ms)
 GET /press 200 in 52ms (next.js: 5ms, application-code: 47ms)
 GET /press 200 in 25ms (next.js: 4ms, application-code: 20ms)
 GET /login 404 in 2.9s (next.js: 1943ms, proxy.ts: 339ms, application-code: 620ms)
 GET /register 404 in 41ms (next.js: 6ms, proxy.ts: 4ms, application-code: 32ms)
 GET / 200 in 671ms (next.js: 175ms, application-code: 496ms)
 GET / 200 in 34ms (next.js: 7ms, application-code: 27ms)
 GET /careers/senior-brand-strategist 200 in 7.0s (next.js: 2.4s, generate-params: 4.5s, application-code: 72ms)
 GET / 200 in 29ms (next.js: 9ms, application-code: 19ms)
